memberId,tag1,tag2,tag3
member-01,sexy,kind,facial
member-02,dance,vocal,charming
member-03,cute,comfort,face_dog
member-04,elegant,charming,growth
member-05,youthful,stability,talk
member-06,dance,energy,recognition
member-08,idol_kpop,vocal,cute
member-09,vocal,charisma,gap
member-11,face_cat,idol_polished,healing
member-12,healing,pure,youthful
member-13,cute,cheer,growth
member-16,sexy,dance,expression
member-19,elegant,energy,expression
member-20,face_cat,cute,energy
member-21,cool,mysterious,charisma
member-22,face_rabbit,cute,
member-24,face_cat,cool,presence
member-25,face_rabbit,cute,growth
member-26,dance,vocal,facial
member-27,pure,expression,presence
member-28,pure,vocal,facial
member-29,facial,youthful,cute
member-30,vocal,energy,charisma
member-31,energy,expression,vocal
member-36,cute,youthful,healing
member-37,cute,healing,growth
member-38,face_squirrel,idol_polished,pure
member-43,face_rabbit,pure,dance
member-45,facial,healing,growth
member-46,vocal,talk,elegant
member-47,growth,youthful,stability
member-51,face_rabbit,youthful,charming
member-52,elegant,vocal,energy
member-53,youthful,energy,sexy
member-54,face_squirrel,idol_kpop,pure
member-55,youthful,energy,growth
member-56,face_rabbit,charisma,unique
member-57,vocal,energy,cool
member-58,expression,vocal,mysterious
member-59,dance,stability,facial
member-60,face_cat,idol_kpop,facial
member-61,pure,energy,facial
member-62,idol_kpop,pure,facial
member-64,elegant,dance,face_cat
member-65,face_rabbit,dance,energy
member-66,pure,face_squirrel,mysterious
member-67,elegant,expression,idol_kpop
member-68,face_rabbit,pure,youthful
member-69,healing,facial,cute
member-70,energy,charisma,vocal
member-71,vocal,expression,youthful
member-72,elegant,facial,dance
member-73,face_squirrel,youthful,facial
member-74,charisma,vocal,cute
member-75,expression,stability,cool
member-77,pure,vocal,stability
member-78,vocal,expression,energy
member-79,youthful,vocal,dance
member-82,pure,idol_kpop,facial
member-83,expression,dance,vocal
member-84,stability,vocal,energy
member-89,expression,dance,cool
member-90,face_rabbit,facial,idol_polished
member-95,facial,elegant,growth
member-96,face_rabbit,healing,facial
member-97,elegant,idol_kpop,energy
member-98,vocal,pure,expression
member-99,dance,sexy,presence
member-100,facial,cute,idol_kpop
member-101,cute,growth,energy
member-102,pure,facial,face_cat
member-103,pure,face_cat,dance
member-105,healing,stability,expression
member-106,vocal,idol_polished,cute
member-107,elegant,face_cat,sexy
member-108,dance,energy,expression
member-109,idol_kpop,elegant,expression
member-110,vocal,expression,cute
member-111,energy,vocal,cool
member-112,expression,charisma,unique
member-113,energy,dance,pure
member-114,expression,vocal,facial
member-115,idol_polished,expression,face_rabbit
member-116,dance,expression,energy
member-117,vocal,facial,elegant
member-118,pure,healing,stability
member-119,energy,cool,unique
member-120,face_cat,vocal,energy
member-123,face_rabbit,facial,energy
member-124,cute,presence,face_cat
member-125,facial,energy,stability
member-126,vocal,facial,energy
member-127,elegant,presence,facial
member-128,cute,dance,energy
member-129,cool,unique,charisma
member-130,pure,vocal,stability
member-131,energy,elegant,facial
member-132,cute,face_rabbit,facial
member-133,pure,idol_polished,vocal
member-134,healing,youthful,growth
member-135,idol_polished,presence,face_squirrel
member-137,idol_polished,facial,expression
member-138,cool,charisma,vocal
member-140,energy,elegant,vocal
member-141,pure,expression,vocal
member-142,vocal,facial,idol_polished
member-146,vocal,expression,cool
member-147,expression,facial,elegant
member-149,expression,vocal,stability
member-152,face_cat,vocal,facial
member-153,healing,vocal,stability
member-154,facial,face_cat,cute
member-156,facial,pure,face_rabbit
member-160,pure,growth,face_cat
member-164,dance,idol_polished,stability
member-165,stability,facial,energy
member-166,face_cat,energy,cool
member-167,dance,pure,facial
member-168,vocal,youthful,stability
member-169,healing,youthful,vocal
member-170,facial,cool,face_cat
member-171,facial,expression,elegant
member-172,youthful,face_rabbit,facial
member-173,cool,energy,unique
member-175,face_squirrel,facial,cute
member-176,stability,facial,elegant
member-177,cute,dance,expression
member-178,cool,presence,dance
member-179,dance,expression,energy
member-180,vocal,healing,face_rabbit
member-181,pure,vocal,expression
member-182,energy,sexy,expression
member-183,facial,elegant,growth
member-186,energy,cool,unique
member-187,vocal,dance,energy
member-188,idol_polished,vocal,facial
member-189,cool,expression,dance
member-190,dance,vocal,expression
member-191,vocal,cool,expression
member-193,pure,elegant,presence
member-194,face_cat,idol_polished,facial
member-195,dance,vocal,expression
member-196,cute,youthful,healing
member-197,face_cat,elegant,expression
member-198,face_cat,vocal,expression
member-199,pure,facial,energy
member-200,cute,energy,facial
member-201,youthful,energy,facial
member-202,youthful,dance,energy
member-203,pure,facial,growth
member-204,cute,idol_polished,facial
member-205,pure,elegant,facial
member-206,elegant,mysterious,facial
member-207,healing,youthful,expression
member-208,elegant,vocal,expression
member-209,face_cat,presence,expression
member-210,face_dog,healing,energy
member-211,dance,energy,stability
member-212,cool,expression,energy
member-213,elegant,energy,facial
member-215,idol_polished,dance,facial
member-216,face_cat,dance,presence
member-217,dance,energy,expression
member-218,sexy,stability,facial
member-219,pure,growth,energy
member-220,cute,youthful,facial
member-221,elegant,facial,growth
member-222,dance,expression,charisma
member-223,dance,vocal,energy
member-224,cool,expression,energy
member-225,cool,stability,energy
member-226,elegant,idol_polished,presence
member-227,youthful,cute,growth
member-228,energy,facial,growth
member-229,energy,elegant,sexy
member-230,elegant,pure,facial
member-231,unique,cute,facial
member-232,cool,energy,charisma
member-234,healing,cute,facial
member-235,face_squirrel,pure,facial
member-236,healing,vocal,energy
member-237,healing,cute,facial
member-238,face_cat,idol_kpop,dance
member-239,elegant,dance,expression
member-240,healing,energy,growth
member-241,healing,pure,facial
member-242,face_rabbit,idol_polished,expression
member-243,cute,stability,charisma
member-244,vocal,facial,stability
member-245,cool,expression,charisma
member-246,mysterious,facial,expression
member-247,healing,pure,growth
member-248,pure,idol_polished,presence
member-249,cute,dance,energy
member-250,face_cat,energy,facial
member-251,pure,idol_polished,expression
member-252,face_cat,idol_polished,facial
member-253,face_cat,healing,energy
member-254,pure,energy,facial
member-255,dance,stability,facial
member-256,face_cat,sexy,energy
member-257,face_squirrel,youthful,energy
member-258,face_dog,youthful,energy
member-259,cool,vocal,expression
member-260,face_cat,energy,expression
member-261,cool,dance,expression
member-262,sexy,charisma,expression
member-263,cool,charisma,expression
member-264,unique,energy,expression
member-265,cool,expression,charisma
member-266,face_cat,idol_polished,dance
member-267,vocal,energy,facial
member-268,healing,youthful,energy
member-269,face_rabbit,pure,energy
member-270,healing,energy,facial
member-271,face_squirrel,energy,vocal
member-272,pure,expression,energy
member-273,face_rabbit,cute,growth
member-274,healing,youthful,energy
member-275,face_cat,stability,facial
member-276,elegant,energy,charisma
member-277,face_chick,youthful,facial
member-278,youthful,healing,facial
member-279,healing,energy,facial
member-280,face_cat,elegant,energy
member-281,face_cat,dance,facial
member-282,face_rabbit,healing,facial
member-283,cool,expression,energy
member-284,face_cat,energy,facial
member-285,face_dog,pure,expression
member-286,cute,growth,energy
member-287,face_rabbit,facial,energy
member-288,cute,youthful,presence
member-289,face_squirrel,youthful,growth
member-290,healing,energy,facial
member-291,cool,mysterious,expression
member-292,unique,charisma,expression
member-293,elegant,energy,facial
member-294,idol_polished,facial,presence
member-295,healing,expression,facial
member-296,elegant,facial,expression
member-297,cute,youthful,energy
member-298,pure,growth,facial
member-299,pure,presence,expression
member-300,face_cat,energy,dance
member-301,cool,sexy,facial
member-302,face_cat,dance,expression
member-303,vocal,dance,stability
member-304,facial,energy,stability
member-305,elegant,facial,presence
member-309,cute,unique,expression
member-310,elegant,energy,facial
member-311,cool,presence,expression
member-312,pure,vocal,facial
member-313,elegant,idol_polished,facial
member-314,youthful,facial,dance
member-315,healing,vocal,expression
member-316,pure,idol_polished,presence
member-317,face_cat,elegant,facial
member-318,face_squirrel,pure,facial
member-319,elegant,dance,expression
member-320,face_squirrel,youthful,facial
member-321,elegant,expression,presence
member-322,unique,expression,charisma
member-323,cool,expression,energy
member-324,energy,expression,dance
member-325,cute,youthful,growth
member-326,dance,energy,stability
member-327,youthful,healing,growth
