id,name,nameKo,nameEn,groupId,xUrl,photoUrl,jpSupport
member-01,ハルナ,하루나,HARUNA,KOKOIYA,https://x.com/kokoiya_haruna,https://assets.st-note.com/img/1780277512-xKYkzJjOeuA10wisT4v5PFrc.jpg,some
member-02,まつ,마츠,MATSU,KOKOIYA,https://x.com/kokoiya_matsu,https://assets.st-note.com/img/1780277512-kxGRFDlAYTg4NJu91VvH5Khz.jpg,no
member-03,ひな,히나,HINA,KOKOIYA,https://x.com/kokoiya_hina,https://assets.st-note.com/img/1780277512-jv8Xw7hLANF0fzJYGgQoCE6b.jpg,ok
member-04,みゃお,먀오,MYAO,KOKOIYA,https://x.com/kokoiya_myao,https://assets.st-note.com/img/1780277512-YHwMTDpaE7mkGz1PZqNieJ3O.jpg,no
member-05,りこ,리코,RIKO,H7KD,https://x.com/H7KD_riko,https://assets.st-note.com/img/1780277511-NtbhawTDscJEHz4Cri9jl1o5.jpg,ok
member-06,ミヤミ,미야미,MIYAMI,H7KD,https://x.com/H7KD_miyami,https://assets.st-note.com/img/1780277511-iA64PLd2qMTYtX7nJBfkjKUg.jpg,ok
member-07,よる,요루,YORU,H7KD,https://x.com/H7KD_yoru,https://assets.st-note.com/img/1780277511-hyCXgwcFZQOUVxfkLRd8JeEB.jpg,unknown
member-08,るび,루비,RUBY,H7KD,https://x.com/H7KD_ruby,https://assets.st-note.com/img/1780277511-OHeEB0TgpV2dltZJrnKNPxD9.jpg,no
member-09,ゆん,윤,YUN,REIEI,https://x.com/YUNS4M4,https://assets.st-note.com/img/1780277512-mNPOxhEYA9DXqfvoarWdI8z1.jpg,ok
member-11,ヤン,얀,YAN,AISYU,https://x.com/AISYU_yan,https://assets.st-note.com/img/1780277511-83a2h4e5rsCREIztWBxQMVZN.jpg,unknown
member-12,イキ,이키,IKI,AISYU,https://x.com/AISYU_iki,https://assets.st-note.com/img/1780277511-F6CUm1VP5ilnIa7QxADZMuhL.jpg,unknown
member-13,クリム,크림,CREME,AISYU,https://x.com/AISYU_creme,https://assets.st-note.com/img/1780277511-VQMvm1OdDaoqW9seYSXL8zkg.jpg,unknown
member-14,モモ,모모,MOMO,AISYU,https://x.com/AISYU_momo,https://assets.st-note.com/img/1780277511-fRCr8vhtocLW5J7XydunEAIG.jpg,unknown
member-16,モカ,모카,MOKA,MOKANAKO,https://x.com/Moka_kawanari,https://assets.st-note.com/img/1780292053-kALQWKSGe8BwFyiu2XOsYJ5N.jpg,unknown
member-19,サラ,사라,SARA,ANiMA,https://x.com/ANiMA_S4rA,https://assets.st-note.com/img/1780277511-IRwFxfh8Kc5yAMr4ulT0Bvae.jpg,unknown
member-20,メイ,메이,MEI,ANiMA,https://x.com/ANiMA_MEI,https://assets.st-note.com/img/1780277511-EUoayM7mXeHWiNpwktYuSPTQ.jpg,unknown
member-21,ルコ,루코,RUKO,ANiMA,https://x.com/ANiMA_RUKO,https://assets.st-note.com/img/1780277511-il1juEhPWSI9XH83rOJVyq0K.jpg,unknown
member-22,あみ,아미,AMI,ANiMA,https://x.com/ANiMA_AMl,https://assets.st-note.com/img/1780277511-RQobfvFU8JzmKlVCSacDeMB1.jpg,unknown
member-24,ユリ,유리,YURI,A8Escape,https://x.com/A8E_Yuri,https://assets.st-note.com/img/1780277511-GxaXdngf6Ez1yDKIA0UF34rq.jpg,unknown
member-25,キョウ,쿄우,KYOU,A8Escape,https://x.com/A8E_kyou,https://assets.st-note.com/img/1780277511-RUmAgd1zEBLXMlt54uirjwCs.jpg,unknown
member-26,みわ,미와,MIWA,A8Escape,https://x.com/A8E_MiWa,https://assets.st-note.com/img/1780277511-WRaJ3Z0XyUsbmCVxvTpz2L5l.jpg,unknown
member-27,イナ,이나,INA,BETTER,https://x.com/tt_1na,https://assets.st-note.com/img/1780277511-aYbfmWTnN6MS2DB3He8jg5Co.jpg,unknown
member-28,soda,소다,SODA,BETTER,https://x.com/tt_5ODA,https://assets.st-note.com/img/1780277511-pvh7bT2d3aCwqnOGcFH1xY0D.jpg,unknown
member-29,ツムギ,츠무기,TSUMUGI,BETTER,https://x.com/tt_tsumu6i,https://assets.st-note.com/img/1780277511-wreoQJSVBMY6ROiUzKFhy0jc.jpg,unknown
member-30,M0NE(ミワン),마왕,M0NE,CLITZ,https://x.com/TRVUM3R3i,https://assets.st-note.com/img/1780277511-8fBMdUY6IRZLz4AoVu1TmrCQ.jpg,unknown
member-31,カナヲ,카나오,KANAO,CLITZ,https://x.com/CLiTZ_KANAO,https://assets.st-note.com/img/1780277511-nEGAbhctKyruLYwQVvF0qdlp.jpg,unknown
member-36,はに,하니,HANI,EITSUKU,https://x.com/EITSUKU_HANI,https://assets.st-note.com/img/1780277511-MYXTCKOF1pW2x6hluZARN95i.jpg,unknown
member-37,ちょ,쵸,CHYO,EITSUKU,https://x.com/EITSUKU_CHYO,https://assets.st-note.com/img/1780277511-ZI8j4O2YafeKtbAPoNTdpX9n.jpg,unknown
member-38,ちび,치비,CHIBI,EITSUKU,https://x.com/EITSUKU_CHIBI,https://assets.st-note.com/img/1780277511-5ENz0thpT29XFQ3jkMfiGaJP.jpg,unknown
member-43,える,에루,ERU,HINONAKA,https://x.com/HNK_Eru,https://assets.st-note.com/img/1780277511-zt7kAGaRq3DpdvyhU2PZJxcB.jpg,unknown
