memberId	artist_26ji_no_masquerade	artist_81moment	artist_8bit	artist_a_lot_of_love	artist_a_lot_of_love!	artist_aibeck	artist_airattic	artist_akb48	artist_ange_reve	artist_animo	artist_antithese	artist_appare	artist_appare!	artist_arca	artist_asutori_no_usagi	artist_avam	artist_axelight	artist_az_on	artist_babababanbi	artist_babymetal	artist_babyraids_japan	artist_bis	artist_bish	artist_cho_denpa_busters	artist_cho_tokimeki_sendenbu	artist_chula	artist_cy8er	artist_devil_anthem	artist_diavel	artist_dramatic_records	artist_eisei_to_karate	artist_fes_tive	artist_finger_runs	artist_fruits_zipper	artist_gang_parade	artist_gratia_ala	artist_hibana	artist_higeki_no_heroine_syndrome	artist_honey_spice_re	artist_i_to_u_screaming	artist_ilife	artist_inuwasi	artist_jams_collection	artist_jiemei	artist_jya_pon	artist_kamisama_no_iutoori	artist_kiss_kiss	artist_kyururin_tte_shitemite	artist_ladybaby	artist_leiwan	artist_lily	artist_love9love	artist_mad_medicine	artist_mazari	artist_megafon	artist_megamegami	artist_meltnoom	artist_mercuro	artist_merry_bad_tune	artist_miis	artist_miracle_fanfare	artist_misorado_edison	artist_mistress	artist_momoiro_clover_z	artist_monochrome	artist_natokan	artist_nekopla_pixx	artist_nemuri_orca	artist_neo_japonism	artist_neotokyo_tribe	artist_niji_no_conquistador	artist_nonfict	artist_papipupepo_wa_muzukashii	artist_phantom_siita	artist_pimms	artist_planck_stars	artist_prsmin	artist_quubi	artist_reirie	artist_ringwanderung	artist_sakusaku_jumble	artist_sect	artist_shiritsu_ebisu_chugaku	artist_shirokyan	artist_somosomo	artist_splash	artist_stainy	artist_sui_sui	artist_tebasaki_sensation	artist_tenrin	artist_the_banana_monkeys	artist_the_orchestra_tokyo	artist_the_world_standard	artist_uijin	artist_un_known_world	artist_unknown_world	artist_utage	artist_wagamama_kiite	artist_wagamama_rakia	artist_yakousei_amuse	artist_yoroz	artist_yosugala	artist_yumemiru_adolescence	artist_yurumerumo	artist_zenbukiminoseida	artist_zerokara_start	artist_zettai_chokkyuu_joshi_playballs
member-01													1													2															1			1																	1						1					1			1						1																										
member-02													1													2															1			1																	1						1					1			1						1																										
member-03													1													2															1			1																	1						1					1			1						1																										
member-04													1													2															1			1																	1						1					1			1						1																										
member-05										1		1	1														2																																														1														1																			3	
member-06										1		1	1														2																																														1														1																			3	
member-07										1		1	1														2																																														1														1																			3	
member-08										1		1	1														2																																														1														1																			3	
member-09																1																						1						2						1								1							1				2						1	1																							1								
member-10																										1																		1																							1		2						1	1																							1								
member-11				1	1										1											2								1																																	1																	1																							
member-12				1	1										1											2								1																																	1																	1																							
member-13					1										1											2								1																																	1																	1																							
member-14					1										1											2								1																																	1																	1																							
member-15																																																													1					1																				2									2	2	1										
member-16																																																													1					1																				2									2	2	1										
member-17																																																													1					1																				2									2		1										
member-18																																																													1					1																				2									2	2	1										
member-19																																																					1					1				1					2									1														1																	
member-20																																																					1					1				1					2									1														1																	
member-21																																																					1					1				1					2									1														1																	
member-22																																																					1					1				1					2									1														1																	
member-23																						1																											1	1																	1									1									1																						
member-24																						1																											1	1																	1									1									1																						
member-25																						1																											1	1																	1									1									1																						
member-26																						1																											1	1																	1									1									1																						
member-27							1																																																																	1																				3										1					
member-28							1																																																																	1																				3										1					
member-29							1																																																																	1																				3										1					
member-30						2																														1																											1																																				1								
member-31						2																														1																											1																																				1								
member-32			2								1																						1																	2																	2											1										1		1																	
member-33			2								1																						1																	2																	2											1										1		1																	
member-34			2								1																						1																	2																	2											1										1		1																	
member-35			2								1																						1																	2																	2											1										1		1																	
member-36																																																1																																													2														
member-37																																																1																																													2														
member-38																																																1																																													2														
member-43			1																2						1																2																																											1					1														2				
member-44			1																2						1																2																																											1					1														2				
member-45																														2									1													1																			1																										2									1	
member-46																														2									1													1																			1																										2									1	
member-47			1																																																				2																	1																																			
member-48			1																																																				2																	1																																			
member-49			1																																																				2																	1																																			
member-50			1																																																				2																	1																																			
member-51												3														2						3													1																																																				1										
member-52												3														2						3													1																																																				1										
member-53												3														2						3													1																																																				1										
member-54												3														2						3													1																																																				1										
member-55												3														2						3													1																																																				1										
