id	name	nameKo	nameEn	groupId	xUrl	photoUrl	jpSupport
member-01	ハルナ	하루나	HARUNA	KOKOIYA	https://x.com/kokoiya_haruna	https://assets.st-note.com/img/1760014024-kNdoiFG94b0jKTnIwcp5qz2S.jpg?width=1200	some
member-02	まつ	마츠	MATSU	KOKOIYA	https://x.com/kokoiya_matsu	https://assets.st-note.com/img/1760014002-DrfHlORBhoGvV6cZbqkX2F9u.jpg?width=1200	no
member-03	ひな	히나	HINA	KOKOIYA	https://x.com/kokoiya_hina	https://assets.st-note.com/img/1760013558-WHvxhqltbpmPGwi7sJy9UNnO.jpg?width=1200	ok
member-04	みゃお	먀오	MYAO	KOKOIYA	https://x.com/kokoiya_myao	https://assets.st-note.com/img/1760013972-LN6tx8yb9fVXrWdKYgc0O2vB.jpg?width=1200	no
member-05	りこ	리코	RIKO	H7KD	https://x.com/H7KD_riko	https://assets.st-note.com/img/1761488789-ZLdkRMFUOV5u27hvHYxDBgq3.jpg?width=1200	ok
member-06	ミヤミ	미야미	MIYAMI	H7KD	https://x.com/H7KD_miyami	https://assets.st-note.com/img/1761488828-4SABNojElWDK5PFhCn3RTvzm.jpg?width=1200	ok
member-07	よる	요루	YORU	H7KD	https://x.com/H7KD_yoru	https://assets.st-note.com/img/1761488844-7yKXnhDF5WoJC3gGp2r9PAiS.jpg?width=1200	unknown
member-08	るび	루비	RUBY	H7KD	https://x.com/H7KD_ruby	https://assets.st-note.com/img/1761488862-ekNT3xwIU859X4Pv7o6QAWhY.jpg?width=1200	no
member-09	ゆん	윤	YUN	REIEI	https://x.com/YUNS4M4	https://assets.st-note.com/img/1761530595-P57NVQpG2HxLw6ktr49ufsCA.jpg?width=1200	ok
member-10	セン	센	SEN	REIEI	https://x.com/sensamadayo0	https://assets.st-note.com/img/1761530619-3wqoUlKipInBkc2MbYAuGNSC.jpg?width=1200	some
member-11	ヤン	얀	YAN	AISYU	https://x.com/AISYU_yan	https://assets.st-note.com/img/1761557440-ZzWSmecQPd9tIA7Ny8hs20nw.jpg?width=1200	unknown
member-12	イキ	이키	IKI	AISYU	https://x.com/AISYU_iki	https://assets.st-note.com/img/1761557462-3Vs9bRTYvg1E4qaGJNmHir0l.jpg?width=1200	unknown
member-13	クリム	크림	CREME	AISYU	https://x.com/AISYU_creme	https://assets.st-note.com/img/1761557479-yoF93hC4eWZz0mdUHgNtIrB8.jpg?width=1200	unknown
member-14	モモ	모모	MOMO	AISYU	https://x.com/AISYU_momo	https://assets.st-note.com/img/1761557497-XjWeMQdzignY73kFRuBtEIf9.jpg?width=1200	unknown
member-15	愛	아이	AI	AMORE	https://x.com/AiAi__LoveLove	https://assets.st-note.com/img/1761486634-GNM54Y6wL9fZzuRvqyic7S13.jpg?width=1200	unknown
member-16	モカ	모카	MOKA	AMORE	https://x.com/Moka_kawanari	https://assets.st-note.com/img/1761486672-aDjCLmlnFU4fB9ShZI7wAbTq.jpg?width=1200	unknown
member-17	エクレア	에쿠레아	EKUREA	AMORE	https://x.com/AU_ekurea	https://assets.st-note.com/img/1761486696-9jwYghWnkq30HCGO2N1ZMFif.jpg?width=1200	unknown
member-18	チュイ	츄이	CHUI	AMORE	https://x.com/chui_nim	https://assets.st-note.com/img/1761486917-RlNsvpaB8ZGdKcFY3Q0AgJOV.jpg?width=1200	unknown
member-19	サラ	사라	SARA	ANiMA	https://x.com/ANiMA_S4rA	https://assets.st-note.com/img/1761487010-AevXFSo5QG8zdk3KYB1VfMOq.jpg?width=1200	unknown
member-20	メイ	메이	MEI	ANiMA	https://x.com/ANiMA_MEI	https://assets.st-note.com/img/1761487034-YB5oIL6lO3ukWUN8mQHnJET1.jpg?width=1200	unknown
member-21	ルコ	루코	RUKO	ANiMA	https://x.com/ANiMA_RUKO	https://assets.st-note.com/img/1761487053-MXcFTN04Robq2BEDiWgsIl5P.jpg?width=1200	unknown
member-22	あみ	아미	AMI	ANiMA	https://x.com/ANiMA_AMl	https://assets.st-note.com/img/1761487072-d1zhw23uY0mytfHnArV4egJ9.jpg?width=1200	unknown
member-23	肉	니쿠	NIKU	A8Escape	https://x.com/A8E_NiKU	https://assets.st-note.com/img/1761487256-OpnK0U8253Mg9dfrbteWwvhB.jpg?width=1200	unknown
member-24	ユリ	유리	YURI	A8Escape	https://x.com/A8E_Yuri	https://assets.st-note.com/img/1761487276-E7uQIhryC9gvlXojmDSiGOdK.jpg?width=1200	unknown
member-25	キョウ	쿄우	KYOU	A8Escape	https://x.com/A8E_kyou	https://assets.st-note.com/img/1761487294-t2cs04TBoXyDuxj5QvkhpLCl.jpg?width=1200	unknown
member-26	みわ	미와	MIWA	A8Escape	https://x.com/A8E_MiWa	https://assets.st-note.com/img/1761487315-zeVpr5yoQvXmNq8c3xAP6Twn.jpg?width=1200	unknown
member-27	イナ	이나	INA	BETTER	https://x.com/tt_1na	https://assets.st-note.com/img/1761487369-ga592qCSdNYD3otekAPyOsHF.jpg?width=1200	unknown
member-28	soda	소다	SODA	BETTER	https://x.com/tt_5ODA	https://assets.st-note.com/img/1761487392-eWFSCUuPQj25KONETd47t0Ml.jpg?width=1200	unknown
member-29	ツムギ	츠무기	TSUMUGI	BETTER	https://x.com/tt_tsumu6i	https://assets.st-note.com/img/1761487409-bdnLUuoxQeY68m3lSMBJR2Vv.jpg?width=1200	unknown
member-30	M0NE(ミワン)	마왕	M0NE	CLITZ	https://x.com/TRVUM3R3i	https://assets.st-note.com/img/1761487480-iuCJ0XjxPlAZOKdVLMsRqgvD.jpg?width=1200	unknown
member-31	カナヲ	카나오	KANAO	CLITZ	https://x.com/CLiTZ_KANAO	https://assets.st-note.com/img/1761487499-KYETbmpZFXnN2oAL9Q8fkh03.jpg?width=1200	unknown
member-32	ゆきな	유키나	YUKINA	CYBERNETICS	https://x.com/Cynetic_Yukina	https://assets.st-note.com/img/1761487547-fuH2QlvJDs64gRnEcM5qy1NX.jpg?width=1200	unknown
member-33	セイヤ	세이야	SEIYA	CYBERNETICS	https://x.com/Cynetic_seiya	https://assets.st-note.com/img/1761487567-ZJXpFB8vV2eYCxHtmPA4RW5w.jpg?width=1200	unknown
member-34	ロジ	로지	ROSI	CYBERNETICS	https://x.com/Cynetic_Rosi	https://assets.st-note.com/img/1761487584-TOEpbPH0N5x1Qgc7M8DAkRZe.jpg?width=1200	unknown
